WORD / PHRASE,description,"INTRO
Unit - Lesson",REVIEWED
je / il / ellemange,"I / he / she eat(s)
 manger",7-6,8-6 ; 10-1
deux,two,7-6,8-6 ; 10-1
trois,three,7-6,8-6 ; 10-1
filles,the girls (fp),7-6,8-6 ; 10-1
chats,cats (mp),7-6,8-6 ; 10-1
croissants,croissants (mp),7-6,8-6 ; 10-1
les,the (p),7-6,8-6 ; 10-1
garçons,boys (mp),7-6,8-6 ; 10-1
femmes,women (fp),7-6,8-6 ; 10-1
elles,they (fp),7-6,8-6 ; 10-1
ils,they (mp),7-6,8-6 ; 10-1
ils / ellessont,"they are
 être : to be",7-6,8-6 ; 10-1
maris,husbands (mp),7-6,8-6 ; 10-1
hommes,men (mp),7-6,8-6 ; 10-1
ils / ellestravaillent,"they work
 travailler",7-6,8-6 ; 10-1
ils / ellesparlent,"they talk
 parler",7-6,8-6 ; 10-1
mangent,"they eat
 manger",7-6,8-6 ; 10-1
oranges,orange (fp),7-6,8-6 ; 10-1
étudiants,students (mp),7-6,8-6 ; 10-1
étudiantes,female students (fp),7-6,8-6 ; 10-1
professeurs,teachers (p),7-6,8-6 ; 10-1
ils / ellesétudient,"they are studying
 êtudier",7-6,8-6 ; 10-1
ils / elleshabitent,"they live in
 habiter",7-6,8-6 ; 10-1
ils / ellesont,"have
 avoir",7-6,8-6 ; 10-1
journalistes,journalists (m/f p),7-6,8-6 ; 10-1
chiens,dogs (p),7-6,8-6 ; 10-1
pizzas,pizza (p),7-6,8-6 ; 10-1
trains,trains (p),7-6,8-6 ; 10-1
voitures,cars (p),7-6,8-6 ; 10-1
