WORD / PHRASE,description,"INTRO
Unit - Lesson",REVIEWED
unfrère,a brother,4-5,6-1 ; 7-4
unpère,a father,4-5,6-1 ; 7-4
mon,my (m),4-5,6-1 ; 7-4
ton,your,4-5,6-1 ; 7-4
son,his / her (m),4-5,6-1 ; 7-4
il / elleva,"goes
 aller",4-5,6-1 ; 7-4
unefamille,a family,4-5,6-1 ; 7-4
unesœur,a sister,4-5,6-1 ; 7-4
unemère,a mother,4-5,6-1 ; 7-4
ma,my (f),4-5,6-1 ; 7-4
ta,your (familiar),4-5,6-1 ; 7-4
sa,her (f),4-5,6-1 ; 7-4
tuvas,"go familiar
 aller",4-5,6-1 ; 7-4
unmari,a husband,4-5,6-1 ; 7-4
unefemme,a wife,4-5,6-1 ; 7-4
unefille,a daughter,4-5,6-1 ; 7-4
unfils,son,4-5,6-1 ; 7-4
de,of,4-5,6-1 ; 7-4
jevais,"go
 aller",4-5,6-1 ; 7-4
ungrand-père,a grandfather,4-5,6-1 ; 7-4
unegrand-mère,a grandmother,4-5,6-1 ; 7-4
unechouette,an owl,4-5,6-1 ; 7-4
unanimal de compagnie,a pet,4-5,6-1 ; 7-4
il / elleveut,"wanna
 vouloir",4-5,6-1 ; 7-4
d',of (elision),4-5,6-1 ; 7-4
dans,In,4-5,6-1 ; 7-4
unappartement,an apartment,4-5,6-1 ; 7-4
unemaison,a house,4-5,6-1 ; 7-4
unjardin,a garden,4-5,6-1 ; 7-4
