WORD / PHRASE,description,"INTRO
Unit - Lesson",REVIEWED
nous,we,6-6,8-1 ; 9-1
nousvoulons,"we want to
 vouloir",6-6,8-1 ; 9-1
noushabitons,"we live in
 habier",6-6,8-1 ; 9-1
nousavons,"we have
 avoit",6-6,8-1 ; 9-1
nousmangeons,"let's eat
 manger
(familiar)",6-6,8-1 ; 9-1
lamusique,the music,6-6,8-1 ; 9-1
j' / il / elleaime,"I / he she like(s)
 aimer",6-6,8-1 ; 9-1
weaimons,"like
 aimer",6-6,8-1 ; 9-1
unchocolat,a chocolate,6-6,8-1 ; 9-1
lire,"to read
 lire",6-6,8-1 ; 9-1
unlivre,a book,6-6,8-1 ; 9-1
noussommes,"we are
 être",6-6,8-1 ; 9-1
jeveux,"I want
 vouloir",6-6,8-1 ; 9-1
nousallons,"lets go
 aller",6-6,8-1 ; 9-1
uneécole,a school,6-6,8-1 ; 9-1
unebanque,a bank,6-6,8-1 ; 9-1
letravail,"the work
also see  travailler",6-6,8-1 ; 9-1
uneboulangerie,a bakery,6-6,8-1 ; 9-1
au,at,6-6,8-1 ; 9-1
lemétro,the Metro / underground train,6-6,8-1 ; 9-1
unparc,a park,6-6,8-1 ; 9-1
uncinéma,movie theater,6-6,8-1 ; 9-1
unzoo,a zoo,6-6,8-1 ; 9-1
tuaimes,"love, like
familiar
 aimer",6-6,8-1 ; 9-1
unbus,a bus,6-6,8-1 ; 9-1
